campaign_id,campaign_name,channel,campaign_type,region,start_date,end_date,budget_usd,spend_usd,impressions,clicks,leads_generated,conversions
CAMP0001,Generate Front-End Systems Campaign,Email,Brand Awareness,Global,2024-04-24,2024-06-25,77630.65,55473.38,440217,13818,299,149
CAMP0002,Incentivize User-Centric Convergence Campaign,Email,Upsell,Global,2024-07-21,2024-09-06,28065.89,19545.42,319763,8642,613,99
CAMP0003,Grow Strategic Supply-Chains Campaign,Event,Retention,EMEA,2025-07-18,2025-08-02,58525.73,43955.27,394763,14627,680,88
CAMP0004,Scale Wireless Paradigms Campaign,Event,Upsell,APAC,2024-11-20,2024-12-06,7184.76,6386.19,135024,15286,605,6
CAMP0005,Orchestrate 24/7 Applications Campaign,Content,Lead Generation,LATAM,2024-12-03,2025-02-02,53501.68,51906.0,470705,11402,662,148
CAMP0006,Envisioneer Real-Time Infrastructures Campaign,Content,Upsell,North America,2025-12-02,2025-12-23,35294.4,27558.14,142805,7351,183,1
CAMP0007,Reinvent Killer Initiatives Campaign,Event,Lead Generation,APAC,2024-04-27,2024-05-13,19567.46,14200.71,172791,17313,171,131
CAMP0008,Engage Rich Systems Campaign,Paid Social,Upsell,Global,2025-11-03,2025-12-04,48329.49,45655.81,355754,4436,164,76
CAMP0009,Synthesize Revolutionary Niches Campaign,Content,Lead Generation,North America,2024-09-05,2024-11-15,79920.14,68432.51,486733,5335,105,53
CAMP0010,Leverage Intuitive Systems Campaign,Paid Search,Nurture,APAC,2025-02-03,2025-02-24,13269.43,10128.93,494352,12807,305,27
CAMP0011,Engineer Granular Info-Mediaries Campaign,Event,Nurture,LATAM,2025-11-16,2025-12-10,44767.24,42991.69,488248,17086,329,115
CAMP0012,Integrate Robust E-Markets Campaign,Content,Lead Generation,Global,2025-03-03,2025-04-26,49297.74,32468.37,338704,10675,624,27
CAMP0013,Facilitate Seamless Infrastructures Campaign,Display,Lead Generation,APAC,2025-07-02,2025-08-12,75239.1,73740.12,31569,14695,114,18
CAMP0014,Envisioneer Mission-Critical Metrics Campaign,Paid Search,Lead Generation,LATAM,2025-02-17,2025-03-17,41160.28,32680.41,149298,10824,585,15
CAMP0015,Productize Viral Users Campaign,SEO,Nurture,North America,2025-02-08,2025-05-07,61318.77,49599.51,85178,19330,277,121
CAMP0016,Benchmark Sticky Mindshare Campaign,SEO,Lead Generation,Global,2024-05-15,2024-07-04,58825.11,54782.72,251852,10642,421,117
CAMP0017,Redefine Proactive Initiatives Campaign,Email,Retention,LATAM,2026-03-09,2026-05-18,63807.49,57393.61,238043,13301,446,50
CAMP0018,Scale User-Centric Mindshare Campaign,Paid Social,Brand Awareness,APAC,2025-11-18,2026-01-20,48661.06,32432.85,192635,19814,666,18
CAMP0019,Engage Transparent Models Campaign,Webinar,Upsell,LATAM,2025-04-27,2025-05-26,5882.01,4108.68,385477,2275,345,7
CAMP0020,Seize Intuitive Roi Campaign,SEO,Nurture,EMEA,2024-05-14,2024-06-11,26277.88,19305.44,449702,19945,360,0
CAMP0021,Integrate Viral Infrastructures Campaign,Paid Search,Lead Generation,LATAM,2024-06-08,2024-07-02,77621.2,53742.15,272773,335,730,109
CAMP0022,Target Cutting-Edge Mindshare Campaign,Paid Search,Nurture,LATAM,2025-02-12,2025-03-04,68418.8,47438.58,244626,13328,441,29
CAMP0023,Re-Contextualize Synergistic Mindshare Campaign,Display,Brand Awareness,EMEA,2024-10-15,2024-12-08,44831.75,44001.52,361518,2852,252,37
CAMP0024,Monetize Visionary E-Commerce Campaign,Paid Social,Retention,North America,2026-03-19,2026-04-19,77102.54,52940.98,32252,16737,223,43
CAMP0025,Grow B2B Content Campaign,Content,Retention,EMEA,2025-06-26,2025-08-22,21050.15,21211.86,439161,8813,451,109
CAMP0026,Morph Virtual Solutions Campaign,Webinar,Lead Generation,Global,2025-11-05,2026-01-30,18182.62,13378.86,264459,19082,508,27
CAMP0027,Re-Intermediate Killer Networks Campaign,Paid Search,Retention,EMEA,2024-11-15,2024-12-09,18384.05,12015.52,271843,17369,300,84
CAMP0028,Integrate Interactive Experiences Campaign,Event,Retention,Global,2025-10-01,2025-12-16,39773.53,26067.1,57468,19407,235,41
CAMP0029,E-Enable Back-End Technologies Campaign,Event,Upsell,EMEA,2025-05-17,2025-07-29,64555.36,59124.88,84640,5555,88,137
CAMP0030,Repurpose Scalable Users Campaign,Webinar,Retention,North America,2024-05-02,2024-06-09,2074.56,1437.3,468474,1955,742,13
CAMP0031,Empower Enterprise E-Business Campaign,Paid Social,Nurture,Global,2025-02-02,2025-04-30,5732.85,5397.66,79242,562,98,65
CAMP0032,Unleash Sticky Eyeballs Campaign,Content,Retention,North America,2025-05-10,2025-07-28,16446.72,13449.65,71363,9247,558,113
CAMP0033,Synergize Cross-Media Content Campaign,Paid Social,Nurture,APAC,2024-07-10,2024-09-13,16733.48,15390.37,64828,12314,505,38
CAMP0034,Syndicate Web-Enabled Systems Campaign,Event,Brand Awareness,APAC,2025-05-26,2025-06-12,67090.32,47773.71,373730,9840,149,144
CAMP0035,Transition Killer Portals Campaign,Content,Nurture,LATAM,2024-11-19,2025-02-04,1059.41,1050.93,445479,4359,255,140
CAMP0036,Embrace Customized Niches Campaign,Event,Nurture,EMEA,2025-04-28,2025-05-12,28967.28,19768.37,341925,14856,611,78
CAMP0037,Orchestrate Customized Metrics Campaign,Webinar,Brand Awareness,EMEA,2024-06-04,2024-07-26,36970.03,35113.23,309033,17523,124,121
CAMP0038,Incentivize B2C Experiences Campaign,Email,Lead Generation,Global,2025-08-27,2025-09-25,20462.05,18389.53,266842,11350,369,133
CAMP0039,Seize Clicks-And-Mortar Schemas Campaign,Webinar,Nurture,APAC,2025-10-05,2025-12-16,73533.6,58331.63,270040,6235,556,76
CAMP0040,Orchestrate Back-End Web Services Campaign,Event,Retention,EMEA,2026-01-28,2026-03-16,11014.14,10335.04,166920,6983,488,27
CAMP0041,Facilitate Vertical Architectures Campaign,Display,Brand Awareness,EMEA,2026-01-12,2026-03-20,42549.14,40886.83,175887,3889,655,104
CAMP0042,Integrate Extensible Action-Items Campaign,Webinar,Nurture,EMEA,2024-10-04,2024-10-26,46768.01,45993.25,276689,18873,219,13
CAMP0043,Brand Cutting-Edge Supply-Chains Campaign,Paid Search,Retention,Global,2024-11-23,2024-12-07,61164.44,54032.32,296831,12663,228,126
CAMP0044,Benchmark Visionary Metrics Campaign,Paid Social,Lead Generation,Global,2026-01-28,2026-04-06,60292.93,57629.3,369429,7634,658,14
CAMP0045,Engage Killer Info-Mediaries Campaign,Display,Brand Awareness,APAC,2026-02-12,2026-03-15,79894.06,79924.29,42487,13227,540,120
CAMP0046,Aggregate Wireless Relationships Campaign,Paid Search,Retention,EMEA,2026-03-29,2026-05-26,46694.64,42308.49,342779,11814,559,6
CAMP0047,Optimize Granular Methodologies Campaign,SEO,Nurture,APAC,2026-03-26,2026-05-25,29462.67,26004.28,152087,8967,110,46
CAMP0048,Iterate Plug-And-Play Roi Campaign,Email,Retention,North America,2026-04-11,2026-05-18,51906.14,45765.4,139378,6922,341,37
CAMP0049,Drive Impactful Systems Campaign,Paid Search,Upsell,EMEA,2026-01-16,2026-02-04,58833.34,53034.64,398626,10184,444,49
CAMP0050,Target Real-Time Experiences Campaign,Event,Lead Generation,LATAM,2025-05-04,2025-05-21,35331.33,32210.88,399828,1630,438,28
CAMP0051,Brand Frictionless E-Services Campaign,Display,Upsell,APAC,2024-04-29,2024-06-14,33268.21,23561.42,55357,7544,496,104
CAMP0052,Brand Clicks-And-Mortar Communities Campaign,Display,Upsell,LATAM,2024-11-15,2025-01-30,73160.75,67913.0,319167,1613,292,78
CAMP0053,E-Enable Open-Source Niches Campaign,Email,Lead Generation,LATAM,2026-02-04,2026-03-27,39400.27,31791.15,377490,12922,450,91
CAMP0054,Aggregate Collaborative Models Campaign,Paid Search,Lead Generation,APAC,2024-05-11,2024-08-08,41813.51,28172.95,285013,7533,549,115
CAMP0055,Harness Efficient Architectures Campaign,Webinar,Nurture,Global,2024-05-12,2024-07-01,66763.67,54033.99,439638,17380,513,136
CAMP0056,Deliver Impactful E-Markets Campaign,Event,Lead Generation,North America,2024-06-03,2024-06-26,69043.89,61573.45,365371,15888,790,138
CAMP0057,Innovate Open-Source E-Services Campaign,Email,Lead Generation,Global,2025-03-05,2025-03-29,35807.14,26141.46,481936,4206,254,131
CAMP0058,Envisioneer Frictionless Experiences Campaign,SEO,Lead Generation,LATAM,2024-07-26,2024-09-07,52771.14,43622.7,275350,1372,581,72
CAMP0059,Scale Cross-Platform E-Commerce Campaign,Email,Brand Awareness,LATAM,2025-11-26,2026-02-13,68908.9,45232.36,377428,2788,508,79
CAMP0060,Incubate Magnetic Web Services Campaign,Display,Upsell,LATAM,2024-10-02,2024-11-25,27633.33,19598.56,123324,10442,325,126
CAMP0061,Incubate Best-Of-Breed Bandwidth Campaign,Paid Social,Lead Generation,North America,2024-12-16,2025-01-09,17705.92,13955.91,107009,5262,351,14
CAMP0062,Visualize Rich Paradigms Campaign,Email,Lead Generation,North America,2026-03-09,2026-05-29,46388.37,44511.5,307158,19231,356,133
